Country,Year,Value
Afghanistan,2011,0.425262105
Afghanistan,2010,0.302936388
Afghanistan,2009,0.24907353
Afghanistan,2008,0.158961558
Afghanistan,2007,0.088141054
Afghanistan,2006,0.065815968
Afghanistan,2005,0.05485483
Afghanistan,2004,0.040727366
Afghanistan,2003,0.046107612
Afghanistan,2002,0.041641211
Afghanistan,2001,0.031434756
Afghanistan,2000,0.03964437
Afghanistan,1999,0.043722588
Afghanistan,1998,0.057050868
Afghanistan,1997,0.061814349
Afghanistan,1996,0.06859185
Afghanistan,1995,0.075646465
Afghanistan,1994,0.083183538
Afghanistan,1993,0.092761103
Afghanistan,1992,0.103775745
Afghanistan,1991,0.194971232
Afghanistan,1990,0.221826764
Afghanistan,1989,0.239131208
Afghanistan,1988,0.252079156
Afghanistan,1987,0.275560305
Afghanistan,1986,0.274729698
Afghanistan,1985,0.301734199
Afghanistan,1984,0.237642948
Afghanistan,1983,0.205462699
Afghanistan,1982,0.165879122
Afghanistan,1981,0.152639744
Afghanistan,1980,0.133230271
Afghanistan,1979,0.168673488
Afghanistan,1978,0.163346971
Afghanistan,1977,0.183118308
Afghanistan,1976,0.154895026
Afghanistan,1975,0.169027082
Afghanistan,1974,0.155725123
Afghanistan,1973,0.136339954
Afghanistan,1972,0.130820142
Afghanistan,1971,0.166114846
Afghanistan,1970,0.150358548
Afghanistan,1969,0.086862817
Afghanistan,1968,0.115547383
Afghanistan,1967,0.123782381
Afghanistan,1966,0.10767397
Afghanistan,1965,0.101498607
Afghanistan,1964,0.086316543
Afghanistan,1963,0.074251368
Afghanistan,1962,0.073781338
Afghanistan,1961,0.053614943
Afghanistan,1960,0.046067875
Albania,2011,1.60703771
Albania,2010,1.515632053
Albania,2009,1.533178094
Albania,2008,1.580113283
Albania,2007,1.507535815
Albania,2006,1.291547969
Albania,2005,1.412498211
Albania,2004,1.376212735
Albania,2003,1.412697196
Albania,2002,1.229540709
Albania,2001,1.053304176
Albania,2000,0.978174681
Albania,1999,0.960164412
Albania,1998,0.560271437
Albania,1997,0.49036506
Albania,1996,0.636625313
Albania,1995,0.654537133
Albania,1994,0.601346953
Albania,1993,0.726062789
Albania,1992,0.73519813
Albania,1991,1.215676857
Albania,1990,2.278386827
Albania,1989,2.783243075
Albania,1988,2.331598531
Albania,1987,2.414060815
Albania,1986,2.665356221
Albania,1985,2.658015382
